  x     y     status
  105  372     j
   65  142     g
  132  862     f
   22   19     g
  185 1173     e
   69  557     f
    2  509     f
  469  429     i
  252  224     j
  835  610     e
  303  540     j
  441 1500     h
   28 1487     i
  173 1356     g
  258 1360     g
  751  660     e
  718  596     f
   76  676     e
  387  602     j
    5  107     i
   73  415     g
  470  344     f
  418  449     e
  641  369     g
   11   99     i
 1182  586     g
  492  934     i
  194  316     i
   25 1489     g
  581  677     j
  169 1113     h
  502 1268     h
  998  544     j
 1014 1192     h
   24  301     i
  315  340     i
  446  402     g
  321  200     e
  234  369     g
  681 1392     g
  310  712     h
  202  207     f
  356  257     j
  733  395     i
  196 1029     f
  173  321     g
  755  828     j
  570   96     h
  641 1179     g
  309 1010     j
  613  391     i
  276  429     i
   38  545     e
  186  893     f
  786 1380     i
 1002  708     i
  290  317     e
   77   13     g
  769  866     h
  287 1014     i
  651  430     g
  360  283     e
 1048  776     g
  381   66     f
  166  704     j
  409  405     g
  172  797     e
  840  685     h
  229 1278     j
  783  627     e
   21  501     e
  573  761     e
  160 1478     j
  253  604     g
  779  199     f
   50  715     j
  212  467     j
  640   61     f
  365   14     j
  233   23     h
  601   97     e
  414 1345     i
   57  382     g
   58  780     g
  520  487     e
   62  548     g
   35 1330     j
  124  806     e
  169  240     i
  846  329     j
  467  245     h
  731 1362     f
  227  691     e
  243  423     f
