        x    y
1    0.02 3.24
2    6.30 5.11
3   10.54 8.66
4   14.44 6.14
5   16.71 1.54
6   18.21 8.32
7    1.63 8.17
8   13.06 1.76
9   15.07 1.11
10   6.78 8.38
11   3.34 7.05
12  17.93 1.79
13   7.68 5.14
14   4.95 9.43
15  16.63 8.07
16  17.67 9.51
17  16.76 8.03
18  10.41 9.38
19   8.18 6.19
20   9.48 7.32
21   3.40 9.80
22  15.00 2.68
23   9.37 3.54
24   8.66 0.82
25   1.81 9.30
26   1.90 5.03
27  20.00 8.53
28   2.18 0.71
29  14.57 8.65
30   5.90 4.85
31  14.50 3.32
32  11.95 2.16
33   0.98 5.46
34  16.16 5.02
35   8.13 6.42
36  15.12 1.71
37  17.99 6.44
38   7.54 4.06
39   1.90 2.15
40   9.18 0.06
41   7.73 8.48
42  14.32 9.08
43   2.70 3.08
44   6.98 8.47
45   2.49 1.17
46   9.20 9.96
47   1.97 0.97
48   7.57 1.14
49   0.10 8.40
50  13.75 9.96
51  13.18 2.60
52   0.10 0.65
53  19.89 8.09
54  13.89 8.13
55   3.20 5.36
56  11.47 2.38
57   7.65 6.39
58  19.93 4.94
59  16.86 1.68
60   2.28 6.87
61  11.65 4.75
62  10.42 1.79
63  17.64 1.50
64   4.42 0.14
65   2.22 3.31
66  18.30 0.34
67   7.64 6.44
68   4.73 4.79
69  10.86 7.62
70  17.27 4.92
71   1.05 2.76
72   4.71 6.36
73   2.00 9.74
74   2.06 2.76
75  11.70 0.43
76  14.26 8.80
77  11.29 5.78
78  19.79 2.14
79  13.84 7.57
80   7.21 5.22
81   2.60 2.96
82   5.23 2.54
83  12.64 8.31
84  19.27 4.33
85  15.41 0.99
86   9.84 8.80
87   4.89 9.40
88  10.50 2.61
89   9.72 8.50
90   0.71 8.86
91  18.37 8.47
92  10.43 3.32
93  17.25 2.59
94   3.18 5.27
95   7.87 4.81
96   3.89 7.03
97  17.00 9.88
98   4.15 7.24
99  17.25 3.04
100  0.38 2.44
101 12.81 2.05
102 16.32 2.99
103 17.53 8.39
104  4.52 6.72
105 16.54 4.81
106 10.60 3.38
107 15.23 1.43
108  6.24 5.94
109  2.50 1.45
110  1.53 2.27
111  9.15 8.39
112  9.03 6.19
113  1.32 5.40
114  8.88 1.74
115  2.69 6.97
116  0.99 0.03
117 19.41 4.83
118  1.55 3.25
119 10.77 8.93
120  1.11 2.85
121  5.12 2.25
122  9.11 1.57
123  2.22 7.26
124  2.97 6.18
125  1.65 9.73
126  5.16 0.34
127 17.66 1.45
128  6.30 0.09
129  2.46 2.93
130  2.62 1.57
131  3.80 5.14
132 10.61 2.92
133 10.73 9.11
134 18.44 8.54
135  9.11 7.28
136 10.55 4.95
137  7.51 6.01
138 11.45 9.15
139 12.39 8.12
140 13.60 8.13
141  1.59 4.08
142  7.26 7.65
143  2.50 1.81
144  4.01 6.50
145 16.17 4.90
146  6.96 7.30
147  7.44 6.69
148 11.60 1.75
149 17.21 7.77
150  1.69 7.88
151  8.02 5.56
152 10.78 1.29
153 13.28 8.60
154 19.87 8.13
155 18.14 9.72
156  9.15 8.68
157  0.74 2.23
158 19.92 2.28
159  4.70 4.21
160 15.38 1.40
161  5.86 0.05
162  4.69 4.45
163 12.89 3.15
164  5.80 2.21
165 18.05 6.42
166 17.62 3.39
167 14.87 1.84
168  8.34 1.39
169 15.38 2.97
170  5.21 1.25
171 12.81 1.08
172  4.31 9.17
173 14.86 6.03
174  0.27 8.78
175 19.84 1.76
176  3.03 8.60
177  4.72 6.81
178 12.19 2.25
179  3.99 2.40
180 18.64 2.23
181 19.24 5.24
182  6.14 5.00
183 12.34 9.06
184  0.37 8.96
185  6.13 5.63
186  2.52 4.96
187  7.10 6.83
188  7.29 3.94
189  8.04 6.21
190  5.16 9.18
191  9.61 0.12
192  9.68 6.39
193 12.49 2.66
194 17.98 6.66
195 16.08 5.38
196  6.91 7.76
197  7.11 6.54
198 11.40 8.01
199  9.96 8.53
200 12.69 2.46
201  2.75 8.13
202  0.44 0.73
203  1.49 9.06
204 11.87 9.30
205  2.00 1.80
206  3.60 6.86
207  0.54 8.62
208  3.85 5.34
209  8.59 1.91
210 17.37 8.38
211 12.20 3.33
212  8.58 7.42
213  2.55 3.97
214 18.42 8.46
215  8.03 4.33
216 18.31 6.90
217 18.88 9.98
218 17.80 2.96
219 10.13 3.24
220 12.91 2.95
221 19.64 4.22
222 15.72 3.19
223  1.85 8.12
224 19.17 8.24
225  8.44 1.05
226  3.56 5.76
227  2.51 7.92
228  4.87 2.16
229  2.44 5.94
230  8.98 0.56
231  4.30 1.60
232  9.63 0.03
233 16.44 1.97
234  9.59 8.56
235 16.65 1.21
236 13.66 7.60
237 11.21 5.01
238  9.87 2.11
239  8.35 8.70
240  8.95 8.98
241 12.40 9.50
242  0.36 2.93
243  4.43 1.15
244  6.59 5.92
245  7.95 9.56
246  1.59 3.24
247  4.68 9.60
248  3.89 0.90
249 15.04 2.82
250  9.77 1.84
251 18.22 1.59
252 13.26 2.93
253 19.93 5.94
254  8.14 4.17
255 14.80 2.38
256 13.08 2.26
257  2.06 8.22
258  4.37 4.53
259  8.81 6.60
260  6.87 5.72
261  2.74 4.69
262 19.90 1.81
263  3.90 7.78
264  9.68 6.33
265 17.61 6.41
266  9.70 6.02
267 18.07 9.79
268  6.64 8.51
269 13.63 7.90
270 14.57 1.53
271  4.21 4.90
272  8.99 0.44
273  8.18 5.40
274  0.96 4.47
275 17.93 4.72
276 11.19 2.35
277  4.25 4.43
278 15.86 5.23
279 12.63 3.81
280  8.56 4.12
281  0.73 4.00
282 15.83 8.22
283 16.04 7.81
284 18.96 8.04
285  2.06 5.68
286  8.09 0.72
287 12.75 3.38
288  1.71 7.98
289  9.85 1.79
290  5.22 8.18
291  1.90 2.09
292 18.08 1.49
293 17.10 2.84
294  1.87 9.50
295  1.32 2.47
296  1.88 9.05
297  9.89 3.45
298  8.85 9.59
299 13.92 7.97
300 11.69 7.72
301 18.61 8.41
302  8.59 0.64
303  6.37 7.43
304  8.70 3.69
305  7.41 4.50
306 15.45 1.58
307  2.85 1.81
308  7.83 0.89
309  0.25 0.47
310 17.37 8.37
311  6.38 4.95
312  8.41 9.18
313 15.98 2.70
314  9.92 1.85
315 11.26 2.13
316  4.21 0.93
317  5.70 2.10
318 16.04 5.14
319  4.75 1.21
320  2.35 0.37
321 15.80 3.06
322  8.86 0.40
323  0.04 3.29
324 18.54 0.06
325 15.46 1.33
326  9.95 2.91
327  6.26 5.78
328 19.36 8.70
329  1.65 7.37
330 19.89 1.87
331 19.48 6.55
332 18.19 5.62
333  1.73 4.02
334  4.55 0.98
335 10.27 0.33
336  3.47 5.93
337 11.11 7.85
338  3.59 0.09
339 14.92 8.81
340 19.12 9.60
341 19.69 3.98
342 10.96 7.43
343 17.53 7.97
344  0.02 5.90
345 19.79 8.86
346  1.97 4.55
347 13.23 9.92
348 17.24 2.92
349 19.42 6.34
350  6.47 5.30
351 17.68 8.03
352  9.32 9.03
353  1.94 4.66
354  3.24 4.83
355  6.95 6.50
356 13.85 3.10
357 15.19 1.28
358  2.25 8.93
359  6.78 5.17
360 11.84 7.99
361 12.48 4.62
362  1.40 9.66
363  2.64 3.27
364 12.71 0.77
365  8.00 0.37
366  3.02 5.93
367  9.07 2.14
368  6.40 5.87
369 14.56 8.40
370 17.40 5.12
371 14.38 8.19
372  9.01 6.83
373  1.27 2.84
374 18.33 2.66
375  7.37 6.54
376  4.10 2.45
