           x         y
 325.67210  78.68465
 335.68471  93.86406
 346.94889  97.65892
 345.69731  76.15475
 336.93628  71.09494
 351.95519  59.71038
 361.96780  55.91553
 371.98040  43.26602
 394.50876  62.24028
 435.81075  76.15475
 462.09384 106.51358
 474.60960 139.40231
 478.36432 174.82094
 479.61590 226.68394
 465.84857 283.60674
 453.33281 351.91411
 445.82336 415.16167
 439.56548 467.02467
 423.29500 489.79379
 398.26349 480.93913
 376.98670 426.54623
 371.98040 345.58935
 360.71622 337.99965
 298.13744 354.44401
 274.35750 370.88838
 276.86066 424.01633
 284.37011 454.37516
 275.60908 465.75972
 228.04921 478.40923
 214.28188 464.49476
 199.26297 474.61437
 175.48303 479.67418
 155.45782 470.81952
 147.94837 441.72564
 131.67789 401.24720
  94.13062 362.03372
  72.85384 344.32440
  35.30657 312.70062
  20.28766 281.07684
  21.53924 257.04277
  26.54554 234.27365
  12.77821 249.45306
  16.53293 220.35918
  29.04869 198.85501
  35.30657 187.47045
  44.06760 167.23123
  47.82232 153.31677
  54.08020 125.48784
  52.82863 101.45377
  52.82863  86.27436
  50.32548  72.35989
  62.84123  55.91553
  80.36329  59.71038
  96.63377  64.77019
 131.67789  79.94960
 155.45782  92.59911
 185.49564  96.39397
 209.27557  98.92387
 214.28188  86.27436
 215.53345  72.35989
 233.05551  95.12902
 251.82914 122.95794
 253.08072 117.89814
 249.32599 100.18882
 254.33230  87.53931
 255.58387  74.88980
 270.60278 100.18882
 290.62799  92.59911
 298.13744  81.21455
